,epo-24,epo-21,epo-18,epo-15,epo-12,epo-9,epo-6,epo-3,epo0,epo3,epo6,epo9,epo12,epo15,nao-24,nao-21,nao-18,nao-15,nao-12,nao-9,nao-6,nao-3,nao0,nao3,nao6,nao9,nao12,nao15,pna-24,pna-21,pna-18,pna-15,pna-12,pna-9,pna-6,pna-3,pna0,pna3,pna6,pna9,pna12,pna15,wpo-24,wpo-21,wpo-18,wpo-15,wpo-12,wpo-9,wpo-6,wpo-3,wpo0,wpo3,wpo6,wpo9,wpo12,wpo15
934,16.72,145.18,128.78,95.43,8.66,59.25,17.95,51.96,226.69,39.94,42.62,217.25,147.29,281.99,105.11,3.83,21.14,17.83,87.94,208.42,139.63,89.00,36.02,28.67,69.03,64.45,23.91,25.94,277.11,163.58,211.41,300.84,269.21,3.18,65.60,143.23,200.72,46.73,236.86,145.79,276.18,453.15,28.83,99.05,14.75,93.56,12.93,52.92,33.93,132.57,180.76,112.13,58.55,115.96,84.89,89.37
935,9.36,208.27,93.36,54.69,18.95,120.67,24.77,119.27,216.26,6.04,89.95,259.79,40.86,292.67,131.32,18.71,64.10,6.36,162.80,180.91,120.82,45.96,69.45,33.33,38.25,11.23,30.05,8.94,317.66,192.16,105.62,397.81,159.28,68.74,142.21,21.49,133.54,167.20,270.58,210.71,259.81,530.68,57.54,64.62,34.42,44.42,20.21,55.21,20.70,149.80,125.97,107.52,66.21,100.19,11.07,37.80
936,45.56,171.23,102.22,39.33,34.48,81.23,21.34,157.01,50.42,6.29,167.19,251.44,203.19,244.18,92.88,61.95,49.58,22.18,212.58,139.59,90.97,15.91,55.06,64.52,102.44,4.91,34.64,46.43,266.11,254.69,120.46,355.32,32.97,66.71,210.47,128.98,1.17,231.93,223.82,296.65,358.56,558.66,63.60,16.62,77.21,5.13,9.03,15.01,51.52,177.32,109.89,72.25,105.63,102.15,72.59,0.58
937,145.18,128.78,95.43,8.66,59.25,17.95,51.96,226.69,39.94,42.62,217.25,147.29,281.99,217.23,3.83,21.14,17.83,87.94,208.42,139.63,89.00,36.02,28.67,69.03,64.45,23.91,25.94,49.58,163.58,211.41,300.84,269.21,3.18,65.60,143.23,200.72,46.73,236.86,145.79,276.18,453.15,403.28,99.05,14.75,93.56,12.93,52.92,33.93,132.57,180.76,112.13,58.55,115.96,84.89,89.37,3.17
938,208.27,93.36,54.69,18.95,120.67,24.77,119.27,216.26,6.04,89.95,259.79,40.86,292.67,217.87,18.71,64.10,6.36,162.80,180.91,120.82,45.96,69.45,33.33,38.25,11.23,30.05,8.94,37.07,192.16,105.62,397.81,159.28,68.74,142.21,21.49,133.54,167.20,270.58,210.71,259.81,530.68,265.27,64.62,34.42,44.42,20.21,55.21,20.70,149.80,125.97,107.52,66.21,100.19,11.07,37.80,56.29
939,171.23,102.22,39.33,34.48,81.23,21.34,157.01,50.42,6.29,167.19,251.44,203.19,244.18,263.38,61.95,49.58,22.18,212.58,139.59,90.97,15.91,55.06,64.52,102.44,4.91,34.64,46.43,34.53,254.69,120.46,355.32,32.97,66.71,210.47,128.98,1.17,231.93,223.82,296.65,358.56,558.66,242.53,16.62,77.21,5.13,9.03,15.01,51.52,177.32,109.89,72.25,105.63,102.15,72.59,0.58,93.49
940,128.78,95.43,8.66,59.25,17.95,51.96,226.69,39.94,42.62,217.25,147.29,281.99,217.23,306.10,21.14,17.83,87.94,208.42,139.63,89.00,36.02,28.67,69.03,64.45,23.91,25.94,49.58,30.28,211.41,300.84,269.21,3.18,65.60,143.23,200.72,46.73,236.86,145.79,276.18,453.15,403.28,183.39,14.75,93.56,12.93,52.92,33.93,132.57,180.76,112.13,58.55,115.96,84.89,89.37,3.17,180.04
941,93.36,54.69,18.95,120.67,24.77,119.27,216.26,6.04,89.95,259.79,40.86,292.67,217.87,366.19,64.10,6.36,162.80,180.91,120.82,45.96,69.45,33.33,38.25,11.23,30.05,8.94,37.07,28.47,105.62,397.81,159.28,68.74,142.21,21.49,133.54,167.20,270.58,210.71,259.81,530.68,265.27,99.98,34.42,44.42,20.21,55.21,20.70,149.80,125.97,107.52,66.21,100.19,11.07,37.80,56.29,268.88
942,102.22,39.33,34.48,81.23,21.34,157.01,50.42,6.29,167.19,251.44,203.19,244.18,263.38,370.57,49.58,22.18,212.58,139.59,90.97,15.91,55.06,64.52,102.44,4.91,34.64,46.43,34.53,81.99,120.46,355.32,32.97,66.71,210.47,128.98,1.17,231.93,223.82,296.65,358.56,558.66,242.53,84.64,77.21,5.13,9.03,15.01,51.52,177.32,109.89,72.25,105.63,102.15,72.59,0.58,93.49,292.60
943,95.43,8.66,59.25,17.95,51.96,226.69,39.94,42.62,217.25,147.29,281.99,217.23,306.10,304.10,17.83,87.94,208.42,139.63,89.00,36.02,28.67,69.03,64.45,23.91,25.94,49.58,30.28,70.57,300.84,269.21,3.18,65.60,143.23,200.72,46.73,236.86,145.79,276.18,453.15,403.28,183.39,48.59,93.56,12.93,52.92,33.93,132.57,180.76,112.13,58.55,115.96,84.89,89.37,3.17,180.04,277.89
